Imagery,Verbal,Emotion,Other,Imagery + verbal,Imagery vs. Verbal,Verbal + imagery,Other + imagery,Imagery vs. Other,Imagery + other,Verbal vs. Imagery
Finger Tapping,Number Counting,Emotional Suppression,Dissociation,Trauma Reminder + Pub Quiz,Concrete Processing vs. Film-Related Rumination,Memorize Numbers + Thought Suppression,Hyperventilation Provocation + Thought Suppression,Trauma Reminder vs. Exercise,Imagery Re-experience + Eye Movement,Conceptual vs. Data-Driven Processing
Imagery Rescripting vs. Imagery Re-experience,Verbalization During Encoding,Emotional Acceptance,Sleep,Trauma Reminder + Number Counting,,,,,,Expressive vs. Factual Trauma Disclosure
Imagery Rescripting vs. Positive Imagery,Contextual Information,Positive vs. Negative CBM Training,Trauma Reminder + Exercise vs. Trauma Reminder,Trauma Re-exposure + Verbal Update,,,,,,
Imagery Re-experience vs. Positive Imagery,Film-Related Rumination,Cold vs. Warm Water Stress,Exercise vs. Walk,Imagery Re-experience + Number Counting,,,,,,
Trauma Reminder + Tetris vs. Trauma Reminder,Letter Cancellation Task,Sad Induction,High vs. Low Self Efficacy,,,,,,,
Trauma Reminder + Tetris,Non-film Related Rumination,Cold vs. Warm Water Stress + Trauma Reminder,Self Efficacy,,,,,,,
Trauma Reminder,Concrete Processing vs. Film-Related Rumination,Attachment Priming,Attentional Bias Modification,,,,,,,
Tetris,Concrete Processing,Guilt Induction,Exercise,,,,,,,
Imagery Re-experience,Negative Feedback,Detached Mindfulness,Wakeful Rest,,,,,,,
Clay Modeling,Conceptual Processing,Social Support,Behavioral Control,,,,,,,
Block Rehearsal + Thought Suppression,Real vs. Fake Trauma Video,Sad vs. Humor Induction,Chewing Gum,,,,,,,
Thought Suppression,Negative Appraisal ,Therapy Dog Interaction,REM Sleep,,,,,,,
Trauma Reminder + Finger Tapping,Positive Appraisal,Dog Interaction Film,Low vs. High Resistance To Proactive Interference,,,,,,,
Unconscious vs. Conscious Imagery Re-experience,Autobiographical Memory Elaboration,Emotional Numbing,Hyperventilation Provocation Test (Hvpt),,,,,,,
Unconscious Imagery Re-experience,Trauma Reminder + Word Game vs. Trauma Reminder,Unsupportive Social Interaction,Threat vs. Neutral Attention Walk,,,,,,,
VE Egocentric Recognition Memory Task,Past vs. Now Verbal Training,Positive Social Reappraisal,Threat Attention Walk,,,,,,,
VE Allocentric Recognition Memory Task,Memory Test,Negative Social Reappraisal,Neutral Attention Walk,,,,,,,
Trauma Re-exposure,Memorize Numbers,,Mindfulness vs. Muscle Relaxation,,,,,,,
Imagery Rescripting,Film-Related Rumination vs. Autobiographical Memory Elaboration,,Social Comparison,,,,,,,
Cold Water Stress Induction + Trauma Reminder vs. Cold Water Stress Induction,Talk Alone,,Prosocial Behavior,,,,,,,
Data-Driven Processing,Validate Talk,,Sleep-directed Hypnosis,,,,,,,
Pre-vs. Post-Extinction Using Trauma Reminder,Invalidate Talk,,,,,,,,,
Trauma Reminder + Extinction vs. Extinction,Broad vs. Narrow Trauma Belief,,,,,,,,,
Imaginary Re-exposure,Negative Expectation Towards Intrusion,,,,,,,,,
Conscious vs. Unconscious Imagery Re-experience,Positive Expectation Towards Intrusion,,,,,,,,,
Exercise vs. Trauma Reminder + Exercise,Challenged vs. Unchallenged Memory,,,,,,,,,
Trauma Reminder + Traumagameplay1,,,,,,,,,,
Traumagameplay2,,,,,,,,,,
Imagery Re-experience + Traumagameplay2,,,,,,,,,,
Imagery Trauma Elaboration,,,,,,,,,,
Pre-Neutral vs. Pre-Negative Trauma Reminder,,,,,,,,,,
Field vs. Observer Perspective Recall,,,,,,,,,,
Observer Perspective Recall,,,,,,,,,,
Field Perspective Recall,,,,,,,,,,
Trauma Reminder + D-Corsi vs. Trauma Reminder,,,,,,,,,,
Extinction,,,,,,,,,,
Visual Stimulation,,,,,,,,,,
Visual Stimulation Imagery,,,,,,,,,,
Trauma Reminder +  Visual Stimulation Imagery,,,,,,,,,,
Writing-Based Rescripting,,,,,,,,,,
Tetris + Trauma Reminder,,,,,,,,,,
Trauma Reminder + Break + Tetris,,,,,,,,,,
Concrete Processing,,,,,,,,,,
Trauma Reminder + Imagery Rescripting vs. Trauma Reminder,,,,,,,,,,
Bilateral Eye Movement,,,,,,,,,,