Analysis,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,7.495,NA,0.024
Behavioural,All,Intrusion frequency,NA,no,9641,108,127,348,0.19,"[0.12, 0.26]",NA,5.226014,0
Neuromodulation,All,Intrusion frequency,NA,no,118,1,1,2,0.23,"[-0.53, 0.98]",NA,0.587452,0.5569
Pharmacological,All,Intrusion frequency,NA,no,1006,11,11,20,-0.16,"[-0.40, 0.08]",NA,-1.313194,0.189118
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,7.388,NA,0.025
Behavioural,All,Intrusion frequency,NA,yes,9534,106,124,336,0.2,"[0.13, 0.26]",NA,6.192879,0
Neuromodulation,All,Intrusion frequency,NA,yes,118,1,1,2,0.23,"[-0.43, 0.88]",NA,0.675413,0.499414
Pharmacological,All,Intrusion frequency,NA,yes,1006,11,11,18,-0.11,"[-0.32, 0.10]",NA,-1.022211,0.306681
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,22.54,NA,0.001
Emotion,All,Intrusion frequency,NA,no,1635,19,19,38,0.08,"[-0.11, 0.26]",NA,0.810129,0.417866
Imagery,All,Intrusion frequency,NA,no,4640,50,58,143,0.31,"[0.21, 0.41]",NA,6.021333,0
Imagery + verbal,All,Intrusion frequency,NA,no,575,4,7,9,0.18,"[-0.09, 0.44]",NA,1.312313,0.189414
Imagery vs. Verbal,All,Intrusion frequency,NA,no,50,1,1,1,0.58,"[-0.32, 1.48]",NA,1.254723,0.209579
Verbal,All,Intrusion frequency,NA,no,2427,31,34,85,0,"[-0.12, 0.13]",NA,0.036317,0.971029
Verbal + imagery,All,Intrusion frequency,NA,no,200,2,2,6,0.32,"[0.01, 0.64]",NA,1.99231,0.046337
Verbal vs. Imagery,All,Intrusion frequency,NA,no,107,2,2,2,0.36,"[-0.28, 1.00]",NA,1.113862,0.265338
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,18.726,NA,0.005
Emotion,All,Intrusion frequency,NA,yes,1596,18,18,37,0.12,"[-0.04, 0.29]",NA,1.483693,0.13789
Imagery,All,Intrusion frequency,NA,yes,4610,49,57,138,0.3,"[0.21, 0.39]",NA,6.322241,0
Imagery + verbal,All,Intrusion frequency,NA,yes,575,4,7,9,0.19,"[-0.06, 0.44]",NA,1.453563,0.146067
Imagery vs. Verbal,All,Intrusion frequency,NA,yes,50,1,1,1,0.58,"[-0.24, 1.39]",NA,1.380812,0.167337
Verbal,All,Intrusion frequency,NA,yes,2324,30,32,80,0.04,"[-0.07, 0.16]",NA,0.732599,0.463803
Verbal + imagery,All,Intrusion frequency,NA,yes,200,2,2,5,0.47,"[0.15, 0.79]",NA,2.868589,0.004123
Verbal vs. Imagery,All,Intrusion frequency,NA,yes,107,2,2,2,0.36,"[-0.22, 0.94]",NA,1.207828,0.227113
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,14.368,NA,0.006
Direct,All,Intrusion frequency,NA,no,4786,53,56,141,0.12,"[0.02, 0.21]",NA,2.386348,0.017017
Direct + indirect,All,Intrusion frequency,NA,no,1671,16,23,56,0.4,"[0.26, 0.54]",NA,5.631823,0
Direct vs. Indirect,All,Intrusion frequency,NA,no,76,1,1,2,-0.27,"[-0.86, 0.33]",NA,-0.881424,0.378088
Indirect,All,Intrusion frequency,NA,no,4241,53,61,135,0.18,"[0.08, 0.27]",NA,3.72949,0.000192
Indirect + direct,All,Intrusion frequency,NA,no,349,3,3,14,0.18,"[-0.05, 0.42]",NA,1.540561,0.123424
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,10.466,NA,0.033
Direct,All,Intrusion frequency,NA,yes,4747,52,55,139,0.14,"[0.05, 0.23]",NA,3.119476,0.001812
Direct + indirect,All,Intrusion frequency,NA,yes,1641,15,22,51,0.37,"[0.23, 0.50]",NA,5.441336,0
Direct vs. Indirect,All,Intrusion frequency,NA,yes,76,1,1,2,-0.2,"[-0.77, 0.36]",NA,-0.69769,0.485371
Indirect,All,Intrusion frequency,NA,yes,4143,53,59,131,0.19,"[0.11, 0.28]",NA,4.351782,0.000014
Indirect + direct,All,Intrusion frequency,NA,yes,349,3,3,13,0.26,"[0.02, 0.49]",NA,2.164683,0.030412
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,4.393,NA,0.222
Instruction,All,Intrusion frequency,NA,no,1572,19,20,39,0.06,"[-0.11, 0.23]",NA,0.712127,0.476386
Task,All,Intrusion frequency,NA,no,8694,97,114,299,0.2,"[0.13, 0.28]",NA,5.366989,0
Task vs. Instruction,All,Intrusion frequency,NA,no,149,1,1,1,0.55,"[-0.06, 1.17]",NA,1.756778,0.078956
Task+instruction,All,Intrusion frequency,NA,no,120,1,1,9,0.04,"[-0.34, 0.42]",NA,0.222071,0.824258
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,6.2,NA,0.102
Instruction,All,Intrusion frequency,NA,yes,1572,19,20,39,0.04,"[-0.11, 0.20]",NA,0.568709,0.569554
Task,All,Intrusion frequency,NA,yes,8587,95,111,287,0.22,"[0.15, 0.28]",NA,6.410617,0
Task vs. Instruction,All,Intrusion frequency,NA,yes,149,1,1,1,0.56,"[-0.05, 1.17]",NA,1.805571,0.070985
Task+instruction,All,Intrusion frequency,NA,yes,120,1,1,9,0.04,"[-0.32, 0.40]",NA,0.214044,0.830513
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,13.732,NA,0.017
Audio,All,Intrusion frequency,NA,no,380,5,5,20,0.02,"[-0.32, 0.36]",NA,0.138874,0.88955
Computer crash,All,Intrusion frequency,NA,no,39,1,1,1,-1.43,"[-2.41, -0.45]",NA,-2.850012,0.004372
Film,All,Intrusion frequency,NA,no,9519,104,122,330,0.18,"[0.11, 0.25]",NA,5.064751,0
Picture,All,Intrusion frequency,NA,no,630,7,8,15,0,"[-0.27, 0.28]",NA,0.035375,0.97178
Picture + audio,All,Intrusion frequency,NA,no,116,2,2,2,0.39,"[-0.23, 1.00]",NA,1.237145,0.216033
Picture + shock,All,Intrusion frequency,NA,no,81,1,1,2,-0.21,"[-1.00, 0.57]",NA,-0.533528,0.593668
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,4.662,NA,0.324
Audio,All,Intrusion frequency,NA,yes,380,5,5,20,0.03,"[-0.27, 0.33]",NA,0.191841,0.847867
Film,All,Intrusion frequency,NA,yes,9451,103,120,317,0.19,"[0.13, 0.26]",NA,5.822895,0
Picture,All,Intrusion frequency,NA,yes,630,7,8,15,0.01,"[-0.24, 0.25]",NA,0.05747,0.954171
Picture + audio,All,Intrusion frequency,NA,yes,116,2,2,2,0.39,"[-0.18, 0.95]",NA,1.344139,0.178904
Picture + shock,All,Intrusion frequency,NA,yes,81,1,1,2,-0.21,"[-0.92, 0.49]",NA,-0.595327,0.551625
Moderation Analysis: ComparisonType,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.102,NA,0.294
Experimental task,All,Intrusion frequency,NA,no,6351,72,80,192,0.19,"[0.10, 0.28]",NA,4.15703,0.000032
No-task,All,Intrusion frequency,NA,no,4414,48,59,178,0.12,"[0.01, 0.22]",NA,2.185253,0.02887
Moderation Analysis: ComparisonType,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,0.125,NA,0.723
Experimental task,All,Intrusion frequency,NA,yes,6321,71,79,187,0.18,"[0.10, 0.26]",NA,4.489992,0.000007
No-task,All,Intrusion frequency,NA,yes,4337,47,57,169,0.16,"[0.07, 0.25]",NA,3.344658,0.000824
Moderation Analysis: StudyDesign,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.104,NA,0.293
Between-subject,All,Intrusion frequency,NA,no,10394,115,131,356,0.15,"[0.08, 0.22]",NA,4.201344,0.000027
Within-subject,All,Intrusion frequency,NA,no,427,7,9,14,0.29,"[0.04, 0.54]",NA,2.253319,0.024239
Moderation Analysis: StudyDesign,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,0.726,NA,0.394
Between-subject,All,Intrusion frequency,NA,yes,10287,113,128,342,0.17,"[0.10, 0.23]",NA,5.218676,0
Within-subject,All,Intrusion frequency,NA,yes,427,7,9,14,0.27,"[0.04, 0.49]",NA,2.325597,0.02004
Moderation Analysis: ModeOfMeasurement,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,2.305,NA,0.316
Intrusion diary,All,Intrusion frequency,NA,no,8985,104,121,248,0.14,"[0.07, 0.21]",NA,3.88933,0.000101
Lab-based intrusion monitoring task,All,Intrusion frequency,NA,no,2859,34,39,79,0.21,"[0.11, 0.31]",NA,4.165054,0.000031
Self-report questionnaire,All,Intrusion frequency,NA,no,1715,16,17,43,0.18,"[0.03, 0.33]",NA,2.385168,0.017071
Moderation Analysis: ModeOfMeasurement,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,4.023,NA,0.134
Intrusion diary,All,Intrusion frequency,NA,yes,8790,102,116,237,0.15,"[0.09, 0.22]",NA,4.633026,0.000004
Lab-based intrusion monitoring task,All,Intrusion frequency,NA,yes,2805,33,38,76,0.25,"[0.15, 0.34]",NA,5.099586,0
Self-report questionnaire,All,Intrusion frequency,NA,yes,1715,16,17,43,0.18,"[0.04, 0.31]",NA,2.522221,0.011662
Moderation Analysis: Time of Administration,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,10.618,NA,0.101
Delayed post,All,Intrusion frequency,NA,no,1083,9,10,33,0.21,"[-0.02, 0.45]",NA,1.754949,0.079268
Immediate + delayed post,All,Intrusion frequency,NA,no,251,3,3,6,-0.18,"[-0.63, 0.26]",NA,-0.798038,0.424848
Immediate post,All,Intrusion frequency,NA,no,6382,69,80,230,0.22,"[0.13, 0.31]",NA,5.004245,0.000001
Peri,All,Intrusion frequency,NA,no,1595,21,25,59,0.12,"[-0.04, 0.28]",NA,1.426344,0.153769
Peri + immediate post,All,Intrusion frequency,NA,no,67,1,1,1,-0.51,"[-1.35, 0.33]",NA,-1.197819,0.230988
Pre,All,Intrusion frequency,NA,no,1360,19,20,39,0.03,"[-0.15, 0.20]",NA,0.293601,0.769063
Pre + peri,All,Intrusion frequency,NA,no,108,1,1,2,-0.24,"[-0.99, 0.52]",NA,-0.60839,0.542929
Moderation Analysis: Time of Administration,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,12.836,NA,0.046
Delayed post,All,Intrusion frequency,NA,yes,1083,9,10,31,0.16,"[-0.04, 0.37]",NA,1.554446,0.120078
Immediate + delayed post,All,Intrusion frequency,NA,yes,251,3,3,6,-0.18,"[-0.56, 0.21]",NA,-0.888084,0.374495
Immediate post,All,Intrusion frequency,NA,yes,6313,67,78,223,0.23,"[0.15, 0.30]",NA,5.895476,0
Peri,All,Intrusion frequency,NA,yes,1557,21,24,56,0.18,"[0.03, 0.32]",NA,2.363639,0.018096
Peri + immediate post,All,Intrusion frequency,NA,yes,67,1,1,1,-0.51,"[-1.26, 0.23]",NA,-1.344713,0.178718
Pre,All,Intrusion frequency,NA,yes,1360,19,20,37,0.04,"[-0.11, 0.20]",NA,0.527336,0.59796
Pre + peri,All,Intrusion frequency,NA,yes,108,1,1,2,-0.24,"[-0.89, 0.42]",NA,-0.703347,0.48184
Moderation Analysis: Physio_binary,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.369,NA,0.242
No,All,Intrusion frequency,NA,no,7810,89,105,302,0.18,"[0.10, 0.26]",NA,4.572327,0.000005
Yes,All,Intrusion frequency,NA,no,2955,32,34,68,0.09,"[-0.05, 0.23]",NA,1.239239,0.215257
Moderation Analysis: Physio_binary,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,1.558,NA,0.212
No,All,Intrusion frequency,NA,yes,7703,87,102,290,0.19,"[0.12, 0.26]",NA,5.491198,0
Yes,All,Intrusion frequency,NA,yes,2955,32,34,66,0.1,"[-0.02, 0.23]",NA,1.684099,0.092163
Moderation Analysis: PublicationStatus,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,0.317,NA,0.573
Published,All,Intrusion frequency,NA,no,10049,110,128,338,0.17,"[0.09, 0.24]",NA,4.558327,0.000005
Unpublished,All,Intrusion frequency,NA,no,716,10,11,32,0.09,"[-0.15, 0.34]",NA,0.738743,0.460063
Moderation Analysis: PublicationStatus,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,0.749,NA,0.387
Published,All,Intrusion frequency,NA,yes,9942,108,125,324,0.18,"[0.12, 0.24]",NA,5.633065,0
Unpublished,All,Intrusion frequency,NA,yes,716,10,11,32,0.08,"[-0.13, 0.30]",NA,0.755014,0.450241
Moderation Analysis: Country_RegionofOrigin,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,16.768,NA,0.333
Australia,All,Intrusion frequency,NA,no,1188,13,14,59,0.01,"[-0.19, 0.22]",NA,0.136333,0.891558
Austria,All,Intrusion frequency,NA,no,84,1,1,1,0.24,"[-0.60, 1.07]",NA,0.552709,0.580463
"Belgium, Netherlands",All,Intrusion frequency,NA,no,61,1,1,2,0.55,"[-0.19, 1.30]",NA,1.449275,0.147261
Belgium/Australia,All,Intrusion frequency,NA,no,74,1,1,4,0.07,"[-0.68, 0.82]",NA,0.179643,0.857433
China,All,Intrusion frequency,NA,no,66,1,1,2,0.68,"[-0.10, 1.46]",NA,1.707037,0.087815
England,All,Intrusion frequency,NA,no,2860,38,49,115,0.22,"[0.11, 0.34]",NA,3.709388,0.000208
Germany,All,Intrusion frequency,NA,no,2019,19,19,45,0.16,"[-0.02, 0.34]",NA,1.785324,0.074209
Hong Kong SAR,All,Intrusion frequency,NA,no,240,2,3,5,0.42,"[-0.04, 0.87]",NA,1.800393,0.071799
Israel,All,Intrusion frequency,NA,no,60,1,1,2,0.55,"[-0.24, 1.34]",NA,1.37067,0.170478
Netherlands,All,Intrusion frequency,NA,no,2252,24,29,86,0.18,"[0.03, 0.32]",NA,2.351618,0.018692
New Zealand,All,Intrusion frequency,NA,no,60,1,1,2,-0.39,"[-1.22, 0.43]",NA,-0.933132,0.350752
Norway,All,Intrusion frequency,NA,no,149,1,1,6,0.01,"[-0.71, 0.74]",NA,0.040714,0.967524
Scotland,All,Intrusion frequency,NA,no,38,1,1,1,-0.65,"[-1.60, 0.31]",NA,-1.328003,0.184177
Sweden,All,Intrusion frequency,NA,no,122,2,2,11,0.08,"[-0.47, 0.63]",NA,0.295768,0.767407
Switzerland,All,Intrusion frequency,NA,no,231,3,3,3,0.38,"[-0.13, 0.88]",NA,1.472245,0.140955
USA,All,Intrusion frequency,NA,no,1261,12,12,26,-0.05,"[-0.28, 0.18]",NA,-0.413591,0.679174
Moderation Analysis: Country_RegionofOrigin,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,21.276,NA,0.128
Australia,All,Intrusion frequency,NA,yes,1188,13,14,57,0.04,"[-0.13, 0.21]",NA,0.454643,0.649366
Austria,All,Intrusion frequency,NA,yes,84,1,1,1,0.24,"[-0.50, 0.97]",NA,0.629151,0.529251
"Belgium, Netherlands",All,Intrusion frequency,NA,yes,61,1,1,2,0.55,"[-0.08, 1.18]",NA,1.718643,0.085679
Belgium/Australia,All,Intrusion frequency,NA,yes,74,1,1,4,0.07,"[-0.57, 0.71]",NA,0.211985,0.832119
China,All,Intrusion frequency,NA,yes,66,1,1,2,0.68,"[0.01, 1.35]",NA,1.987985,0.046813
England,All,Intrusion frequency,NA,yes,2792,37,47,105,0.23,"[0.13, 0.34]",NA,4.338519,0.000014
Germany,All,Intrusion frequency,NA,yes,2019,19,19,45,0.16,"[0.01, 0.31]",NA,2.053343,0.040039
Hong Kong SAR,All,Intrusion frequency,NA,yes,240,2,3,5,0.42,"[0.03, 0.81]",NA,2.091652,0.03647
Israel,All,Intrusion frequency,NA,yes,60,1,1,2,0.55,"[-0.13, 1.23]",NA,1.591194,0.111566
Netherlands,All,Intrusion frequency,NA,yes,2213,23,28,85,0.21,"[0.08, 0.34]",NA,3.193878,0.001404
New Zealand,All,Intrusion frequency,NA,yes,60,1,1,2,-0.39,"[-1.12, 0.33]",NA,-1.066485,0.286205
Norway,All,Intrusion frequency,NA,yes,149,1,1,6,0.01,"[-0.59, 0.62]",NA,0.048922,0.960981
Scotland,All,Intrusion frequency,NA,yes,38,1,1,1,-0.65,"[-1.51, 0.22]",NA,-1.462639,0.143566
Sweden,All,Intrusion frequency,NA,yes,122,2,2,11,0.09,"[-0.38, 0.56]",NA,0.366833,0.713744
Switzerland,All,Intrusion frequency,NA,yes,231,3,3,3,0.38,"[-0.07, 0.82]",NA,1.660211,0.096872
USA,All,Intrusion frequency,NA,yes,1261,12,12,25,-0.03,"[-0.23, 0.17]",NA,-0.307657,0.758343
Moderation Analysis: Continent,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,10.871,NA,0.028
Asia,All,Intrusion frequency,NA,no,366,4,5,9,0.5,"[0.15, 0.84]",NA,2.841188,0.004495
Australia,All,Intrusion frequency,NA,no,1248,14,15,61,-0.01,"[-0.20, 0.18]",NA,-0.085656,0.93174
Australia/europe,All,Intrusion frequency,NA,no,74,1,1,4,0.07,"[-0.66, 0.80]",NA,0.184514,0.85361
Europe,All,Intrusion frequency,NA,no,7816,90,106,270,0.19,"[0.12, 0.27]",NA,4.982457,0.000001
North america,All,Intrusion frequency,NA,no,1261,12,12,26,-0.05,"[-0.27, 0.17]",NA,-0.431661,0.665988
Moderation Analysis: Continent,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,13.2,NA,0.01
Asia,All,Intrusion frequency,NA,yes,366,4,5,9,0.5,"[0.20, 0.79]",NA,3.27518,0.001056
Australia,All,Intrusion frequency,NA,yes,1248,14,15,59,0.02,"[-0.15, 0.18]",NA,0.205053,0.837531
Australia/europe,All,Intrusion frequency,NA,yes,74,1,1,4,0.07,"[-0.56, 0.70]",NA,0.215868,0.829091
Europe,All,Intrusion frequency,NA,yes,7709,88,103,259,0.21,"[0.14, 0.27]",NA,5.994498,0
North america,All,Intrusion frequency,NA,yes,1261,12,12,25,-0.03,"[-0.23, 0.16]",NA,-0.319672,0.749217
Moderation Analysis: MeanAge,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,2.539,NA,0.111
MeanAge,All,Intrusion frequency,NA,no,10320,115,133,360,0.02,"[-0.00, 0.04]",NA,1.593391,0.111072
Moderation Analysis: MeanAge,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,1.984,NA,0.159
MeanAge,All,Intrusion frequency,NA,yes,10252,114,131,347,0.01,"[-0.01, 0.03]",NA,1.408616,0.158949
Moderation Analysis: FemaleRatio,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.356,NA,0.244
FemaleRatio,All,Intrusion frequency,NA,no,10725,119,138,368,-0.23,"[-0.61, 0.15]",NA,-1.164585,0.244187
Moderation Analysis: FemaleRatio,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,2.601,NA,0.107
FemaleRatio,All,Intrusion frequency,NA,yes,10618,117,135,354,-0.27,"[-0.61, 0.06]",NA,-1.612913,0.106763
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,Intrusion diary,no,NA,NA,NA,NA,NA,NA,5.991,NA,0.014
Behavioural,All,Intrusion frequency,Intrusion diary,no,7979,93,110,230,0.17,"[0.09, 0.24]",NA,4.394962,0.000011
Pharmacological,All,Intrusion frequency,Intrusion diary,no,1006,11,11,18,-0.14,"[-0.38, 0.10]",NA,-1.170973,0.24161
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,Intrusion diary,yes,NA,NA,NA,NA,NA,NA,6.727,NA,0.009
Behavioural,All,Intrusion frequency,Intrusion diary,yes,7784,91,105,219,0.17,"[0.10, 0.24]",NA,5.066919,0
Pharmacological,All,Intrusion frequency,Intrusion diary,yes,1006,11,11,17,-0.11,"[-0.32, 0.09]",NA,-1.09094,0.275299
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,Intrusion diary,no,NA,NA,NA,NA,NA,NA,21.518,NA,0.001
Emotion,All,Intrusion frequency,Intrusion diary,no,1314,16,16,24,0.01,"[-0.19, 0.22]",NA,0.107847,0.914117
Imagery,All,Intrusion frequency,Intrusion diary,no,3847,44,51,101,0.32,"[0.21, 0.44]",NA,5.56859,0
Imagery + verbal,All,Intrusion frequency,Intrusion diary,no,575,4,7,7,0.13,"[-0.17, 0.44]",NA,0.858012,0.390886
Imagery vs. Verbal,All,Intrusion frequency,Intrusion diary,no,50,1,1,1,0.58,"[-0.33, 1.48]",NA,1.243148,0.213813
Verbal,All,Intrusion frequency,Intrusion diary,no,1992,26,29,51,-0.02,"[-0.17, 0.12]",NA,-0.316045,0.751968
Verbal + imagery,All,Intrusion frequency,Intrusion diary,no,200,2,2,2,0.07,"[-0.48, 0.61]",NA,0.249239,0.803176
Verbal vs. Imagery,All,Intrusion frequency,Intrusion diary,no,73,1,1,1,0.21,"[-0.64, 1.05]",NA,0.475701,0.634288
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,Intrusion diary,yes,NA,NA,NA,NA,NA,NA,14.278,NA,0.027
Emotion,All,Intrusion frequency,Intrusion diary,yes,1275,15,15,23,0.08,"[-0.10, 0.26]",NA,0.833879,0.404349
Imagery,All,Intrusion frequency,Intrusion diary,yes,3729,43,48,96,0.27,"[0.17, 0.37]",NA,5.241745,0
Imagery + verbal,All,Intrusion frequency,Intrusion diary,yes,575,4,7,7,0.13,"[-0.14, 0.41]",NA,0.929728,0.352512
Imagery vs. Verbal,All,Intrusion frequency,Intrusion diary,yes,50,1,1,1,0.58,"[-0.22, 1.38]",NA,1.411801,0.158008
Verbal,All,Intrusion frequency,Intrusion diary,yes,1954,26,28,47,0.02,"[-0.11, 0.15]",NA,0.299586,0.764493
Verbal + imagery,All,Intrusion frequency,Intrusion diary,yes,120,1,1,1,0.61,"[-0.08, 1.31]",NA,1.737911,0.082226
Verbal vs. Imagery,All,Intrusion frequency,Intrusion diary,yes,73,1,1,1,0.21,"[-0.53, 0.94]",NA,0.552046,0.580917
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,Intrusion diary,no,NA,NA,NA,NA,NA,NA,7.776,NA,0.1
Direct,All,Intrusion frequency,Intrusion diary,no,3841,45,47,82,0.09,"[-0.02, 0.20]",NA,1.530652,0.125855
Direct + indirect,All,Intrusion frequency,Intrusion diary,no,1614,16,22,38,0.32,"[0.16, 0.47]",NA,3.977494,0.00007
Direct vs. Indirect,All,Intrusion frequency,Intrusion diary,no,76,1,1,2,-0.27,"[-0.89, 0.35]",NA,-0.842738,0.399375
Indirect,All,Intrusion frequency,Intrusion diary,no,3581,46,54,103,0.19,"[0.09, 0.30]",NA,3.556866,0.000375
Indirect + direct,All,Intrusion frequency,Intrusion diary,no,349,3,3,5,0.14,"[-0.23, 0.50]",NA,0.739206,0.459782
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,Intrusion diary,yes,NA,NA,NA,NA,NA,NA,4.316,NA,0.365
Direct,All,Intrusion frequency,Intrusion diary,yes,3802,44,46,80,0.12,"[0.02, 0.22]",NA,2.260016,0.02382
Direct + indirect,All,Intrusion frequency,Intrusion diary,yes,1424,14,18,34,0.23,"[0.08, 0.38]",NA,3.076685,0.002093
Direct vs. Indirect,All,Intrusion frequency,Intrusion diary,yes,76,1,1,2,-0.2,"[-0.77, 0.37]",NA,-0.688243,0.4913
Indirect,All,Intrusion frequency,Intrusion diary,yes,3483,46,52,99,0.2,"[0.11, 0.30]",NA,4.157655,0.000032
Indirect + direct,All,Intrusion frequency,Intrusion diary,yes,269,2,2,4,0.32,"[-0.06, 0.70]",NA,1.652946,0.098342
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,Intrusion diary,no,NA,NA,NA,NA,NA,NA,4.483,NA,0.106
Instruction,All,Intrusion frequency,Intrusion diary,no,1367,17,18,24,0,"[-0.19, 0.19]",NA,0.005351,0.99573
Task,All,Intrusion frequency,Intrusion diary,no,7088,83,98,203,0.19,"[0.11, 0.27]",NA,4.676063,0.000003
Task+instruction,All,Intrusion frequency,Intrusion diary,no,120,1,1,3,0.33,"[-0.24, 0.90]",NA,1.119648,0.262864
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,Intrusion diary,yes,NA,NA,NA,NA,NA,NA,7.299,NA,0.026
Instruction,All,Intrusion frequency,Intrusion diary,yes,1367,17,18,24,-0.03,"[-0.19, 0.14]",NA,-0.317457,0.750897
Task,All,Intrusion frequency,Intrusion diary,yes,6893,81,93,192,0.2,"[0.13, 0.27]",NA,5.537769,0
Task+instruction,All,Intrusion frequency,Intrusion diary,yes,120,1,1,3,0.33,"[-0.19, 0.84]",NA,1.239973,0.214985
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,Intrusion diary,no,NA,NA,NA,NA,NA,NA,13.415,NA,0.009
Audio,All,Intrusion frequency,Intrusion diary,no,380,5,5,18,0.02,"[-0.32, 0.35]",NA,0.096672,0.922987
Computer crash,All,Intrusion frequency,Intrusion diary,no,39,1,1,1,-1.43,"[-2.40, -0.46]",NA,-2.881249,0.003961
Film,All,Intrusion frequency,Intrusion diary,no,8069,92,108,218,0.17,"[0.10, 0.25]",NA,4.424194,0.00001
Picture,All,Intrusion frequency,Intrusion diary,no,416,5,6,9,-0.05,"[-0.36, 0.26]",NA,-0.302304,0.76242
Picture + shock,All,Intrusion frequency,Intrusion diary,no,81,1,1,2,-0.21,"[-0.97, 0.55]",NA,-0.551095,0.581568
