Analysis,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Germany,All,Intrusion frequency,Lab-based intrusion monitoring task,no,505,6,6,8,0.13,"[-0.10, 0.36]",NA,1.125165,0.260519
Hong Kong SAR,All,Intrusion frequency,Lab-based intrusion monitoring task,no,150,2,2,2,0.36,"[-0.07, 0.79]",NA,1.655944,0.097733
Israel,All,Intrusion frequency,Lab-based intrusion monitoring task,no,60,1,1,1,0.87,"[0.21, 1.52]",NA,2.598244,0.00937
Netherlands,All,Intrusion frequency,Lab-based intrusion monitoring task,no,280,3,3,6,0.54,"[0.22, 0.86]",NA,3.298919,0.000971
Norway,All,Intrusion frequency,Lab-based intrusion monitoring task,no,149,1,1,3,0.04,"[-0.41, 0.49]",NA,0.186608,0.851968
USA,All,Intrusion frequency,Lab-based intrusion monitoring task,no,87,2,2,2,-0.09,"[-0.61, 0.43]",NA,-0.343591,0.731154
Moderation Analysis: Country_RegionofOrigin,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,NA,NA,NA,NA,NA,NA,69.831,NA,0
Australia,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,827,9,10,31,0.06,"[-0.04, 0.16]",NA,1.251227,0.210852
"Belgium, Netherlands",All,Intrusion frequency,Lab-based intrusion monitoring task,yes,61,1,1,1,0.76,"[0.38, 1.14]",NA,3.907516,0.000093
Belgium/Australia,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,74,1,1,2,-0.1,"[-0.50, 0.31]",NA,-0.459891,0.645595
England,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,666,9,12,21,0.61,"[0.48, 0.75]",NA,9.07515,0
Germany,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,505,6,6,8,0.12,"[-0.04, 0.28]",NA,1.43002,0.152711
Hong Kong SAR,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,150,2,2,2,0.38,"[0.04, 0.71]",NA,2.188163,0.028658
Israel,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,60,1,1,1,0.87,"[0.33, 1.40]",NA,3.184098,0.001452
Netherlands,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,280,3,3,6,0.51,"[0.28, 0.74]",NA,4.37505,0.000012
Norway,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,149,1,1,3,0.04,"[-0.23, 0.31]",NA,0.308108,0.758
USA,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,33,1,1,1,0.9,"[0.18, 1.62]",NA,2.458272,0.013961
Moderation Analysis: Continent,All,Intrusion frequency,Lab-based intrusion monitoring task,no,NA,NA,NA,NA,NA,NA,17.665,NA,0.001
Asia,All,Intrusion frequency,Lab-based intrusion monitoring task,no,210,3,3,3,0.52,"[0.09, 0.94]",NA,2.391509,0.016779
Australia,All,Intrusion frequency,Lab-based intrusion monitoring task,no,827,9,10,33,-0.01,"[-0.21, 0.19]",NA,-0.08909,0.929011
Australia/europe,All,Intrusion frequency,Lab-based intrusion monitoring task,no,74,1,1,2,-0.1,"[-0.77, 0.58]",NA,-0.277889,0.781098
Europe,All,Intrusion frequency,Lab-based intrusion monitoring task,no,1661,20,23,39,0.46,"[0.32, 0.61]",NA,6.22101,0
North america,All,Intrusion frequency,Lab-based intrusion monitoring task,no,87,2,2,2,-0.06,"[-0.65, 0.53]",NA,-0.193188,0.846812
Moderation Analysis: Continent,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,NA,NA,NA,NA,NA,NA,17.48,NA,0.002
Asia,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,210,3,3,3,0.52,"[0.13, 0.90]",NA,2.649073,0.008071
Australia,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,827,9,10,31,0.05,"[-0.12, 0.23]",NA,0.595478,0.551524
Australia/europe,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,74,1,1,2,-0.1,"[-0.69, 0.50]",NA,-0.313528,0.75388
Europe,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,1661,20,23,39,0.45,"[0.32, 0.58]",NA,6.894053,0
North america,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,33,1,1,1,0.9,"[0.06, 1.75]",NA,2.099614,0.035763
Moderation Analysis: MeanAge,All,Intrusion frequency,Lab-based intrusion monitoring task,no,NA,NA,NA,NA,NA,NA,5.46,NA,0.019
MeanAge,All,Intrusion frequency,Lab-based intrusion monitoring task,no,2859,34,39,79,0.05,"[0.01, 0.09]",NA,2.336644,0.019458
Moderation Analysis: MeanAge,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,NA,NA,NA,NA,NA,NA,4.193,NA,0.041
MeanAge,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,2805,33,38,76,0.04,"[0.00, 0.08]",NA,2.047684,0.040591
Moderation Analysis: FemaleRatio,All,Intrusion frequency,Lab-based intrusion monitoring task,no,NA,NA,NA,NA,NA,NA,1.397,NA,0.237
FemaleRatio,All,Intrusion frequency,Lab-based intrusion monitoring task,no,2859,34,39,79,-0.5,"[-1.34, 0.33]",NA,-1.181918,0.237238
Moderation Analysis: FemaleRatio,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,NA,NA,NA,NA,NA,NA,3.846,NA,0.05
FemaleRatio,All,Intrusion frequency,Lab-based intrusion monitoring task,yes,2805,33,38,76,-0.73,"[-1.46, -0.00]",NA,-1.961179,0.049858
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,0.067,NA,0.796
Behavioural,All,Intrusion frequency,Self-report questionnaire,no,1597,15,16,41,0.13,"[-0.06, 0.31]",NA,1.348547,0.177482
Neuromodulation,All,Intrusion frequency,Self-report questionnaire,no,118,1,1,2,0.23,"[-0.49, 0.94]",NA,0.615804,0.538024
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,0.118,NA,0.731
Behavioural,All,Intrusion frequency,Self-report questionnaire,yes,1597,15,16,40,0.11,"[-0.07, 0.28]",NA,1.215171,0.224301
Neuromodulation,All,Intrusion frequency,Self-report questionnaire,yes,118,1,1,2,0.23,"[-0.43, 0.88]",NA,0.671546,0.501873
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,1.688,NA,0.64
Emotion,All,Intrusion frequency,Self-report questionnaire,no,296,3,3,5,0.25,"[-0.21, 0.70]",NA,1.067818,0.285603
Imagery,All,Intrusion frequency,Self-report questionnaire,no,694,6,6,14,0.08,"[-0.22, 0.39]",NA,0.516373,0.605594
Verbal,All,Intrusion frequency,Self-report questionnaire,no,610,7,7,19,0.01,"[-0.27, 0.30]",NA,0.102245,0.918562
Verbal vs. Imagery,All,Intrusion frequency,Self-report questionnaire,no,34,1,1,1,0.58,"[-0.41, 1.57]",NA,1.152743,0.249016
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,1.879,NA,0.598
Emotion,All,Intrusion frequency,Self-report questionnaire,yes,296,3,3,5,0.22,"[-0.20, 0.65]",NA,1.028136,0.303886
Imagery,All,Intrusion frequency,Self-report questionnaire,yes,694,6,6,13,0.05,"[-0.24, 0.34]",NA,0.323342,0.746436
Verbal,All,Intrusion frequency,Self-report questionnaire,yes,610,7,7,19,0.01,"[-0.26, 0.27]",NA,0.040751,0.967495
Verbal vs. Imagery,All,Intrusion frequency,Self-report questionnaire,yes,34,1,1,1,0.58,"[-0.36, 1.52]",NA,1.213954,0.224765
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,4.972,NA,0.083
Direct,All,Intrusion frequency,Self-report questionnaire,no,1092,11,12,36,0.08,"[-0.11, 0.27]",NA,0.801084,0.423083
Direct + indirect,All,Intrusion frequency,Self-report questionnaire,no,107,1,1,2,0.84,"[0.19, 1.50]",NA,2.51207,0.012003
Indirect,All,Intrusion frequency,Self-report questionnaire,no,398,3,3,3,0.05,"[-0.35, 0.44]",NA,0.228235,0.819464
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,2.753,NA,0.252
Direct,All,Intrusion frequency,Self-report questionnaire,yes,1092,11,12,36,0.08,"[-0.11, 0.27]",NA,0.801084,0.423083
Direct + indirect,All,Intrusion frequency,Self-report questionnaire,yes,107,1,1,1,0.71,"[-0.03, 1.45]",NA,1.886248,0.059262
Indirect,All,Intrusion frequency,Self-report questionnaire,yes,398,3,3,3,0.05,"[-0.35, 0.44]",NA,0.228235,0.819464
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,2.355,NA,0.125
Instruction,All,Intrusion frequency,Self-report questionnaire,no,112,2,2,5,0.52,"[-0.01, 1.05]",NA,1.906306,0.056611
Task,All,Intrusion frequency,Self-report questionnaire,no,1485,13,14,36,0.08,"[-0.11, 0.26]",NA,0.799729,0.423868
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,3.253,NA,0.071
Instruction,All,Intrusion frequency,Self-report questionnaire,yes,112,2,2,5,0.52,"[0.04, 1.00]",NA,2.108483,0.034989
Task,All,Intrusion frequency,Self-report questionnaire,yes,1485,13,14,35,0.05,"[-0.12, 0.22]",NA,0.582939,0.559934
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,0.028,NA,0.866
Film,All,Intrusion frequency,Self-report questionnaire,no,1501,14,15,39,0.13,"[-0.06, 0.32]",NA,1.302704,0.192676
Picture,All,Intrusion frequency,Self-report questionnaire,no,214,2,2,4,0.17,"[-0.33, 0.68]",NA,0.676271,0.498868
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,0.074,NA,0.785
Film,All,Intrusion frequency,Self-report questionnaire,yes,1501,14,15,38,0.11,"[-0.07, 0.28]",NA,1.156641,0.247419
Picture,All,Intrusion frequency,Self-report questionnaire,yes,214,2,2,4,0.17,"[-0.29, 0.64]",NA,0.737537,0.460796
Moderation Analysis: ComparisonType,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,2.399,NA,0.121
Experimental task,All,Intrusion frequency,Self-report questionnaire,no,1603,14,15,38,0.08,"[-0.09, 0.26]",NA,0.95543,0.33936
No-task,All,Intrusion frequency,Self-report questionnaire,no,112,2,2,5,0.52,"[-0.00, 1.04]",NA,1.955024,0.05058
Moderation Analysis: ComparisonType,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,3.253,NA,0.071
Experimental task,All,Intrusion frequency,Self-report questionnaire,yes,1603,14,15,37,0.06,"[-0.10, 0.22]",NA,0.756663,0.449252
No-task,All,Intrusion frequency,Self-report questionnaire,yes,112,2,2,5,0.52,"[0.05, 0.99]",NA,2.149158,0.031622
Moderation Analysis: Time of Administration,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,3.381,NA,0.496
Delayed post,All,Intrusion frequency,Self-report questionnaire,no,517,3,3,10,-0.06,"[-0.46, 0.34]",NA,-0.276475,0.782183
Immediate + delayed post,All,Intrusion frequency,Self-report questionnaire,no,82,1,1,1,-0.32,"[-1.10, 0.47]",NA,-0.788633,0.430327
Immediate post,All,Intrusion frequency,Self-report questionnaire,no,836,9,9,25,0.19,"[-0.05, 0.44]",NA,1.527728,0.12658
Peri,All,Intrusion frequency,Self-report questionnaire,no,129,2,2,4,0.16,"[-0.39, 0.71]",NA,0.559622,0.575737
Pre,All,Intrusion frequency,Self-report questionnaire,no,151,2,2,3,0.43,"[-0.14, 1.01]",NA,1.467599,0.142213
Moderation Analysis: Time of Administration,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,3.651,NA,0.455
Delayed post,All,Intrusion frequency,Self-report questionnaire,yes,517,3,3,10,-0.06,"[-0.42, 0.30]",NA,-0.315582,0.75232
Immediate + delayed post,All,Intrusion frequency,Self-report questionnaire,yes,82,1,1,1,-0.32,"[-1.04, 0.41]",NA,-0.847552,0.396687
Immediate post,All,Intrusion frequency,Self-report questionnaire,yes,836,9,9,24,0.16,"[-0.07, 0.39]",NA,1.382222,0.166903
Peri,All,Intrusion frequency,Self-report questionnaire,yes,129,2,2,4,0.16,"[-0.36, 0.67]",NA,0.595037,0.551819
Pre,All,Intrusion frequency,Self-report questionnaire,yes,151,2,2,3,0.42,"[-0.12, 0.96]",NA,1.539904,0.123584
Moderation Analysis: Physio_binary,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,2.744,NA,0.098
No,All,Intrusion frequency,Self-report questionnaire,no,955,10,11,29,0.24,"[0.03, 0.46]",NA,2.204101,0.027517
Yes,All,Intrusion frequency,Self-report questionnaire,no,760,6,6,14,-0.05,"[-0.33, 0.22]",NA,-0.380532,0.703551
Moderation Analysis: Physio_binary,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,2.476,NA,0.116
No,All,Intrusion frequency,Self-report questionnaire,yes,955,10,11,28,0.21,"[0.01, 0.42]",NA,2.042869,0.041065
Yes,All,Intrusion frequency,Self-report questionnaire,yes,760,6,6,14,-0.05,"[-0.31, 0.21]",NA,-0.388689,0.697506
Moderation Analysis: PublicationStatus,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,0.052,NA,0.82
Published,All,Intrusion frequency,Self-report questionnaire,no,1404,13,14,37,0.14,"[-0.05, 0.34]",NA,1.420592,0.155435
Unpublished,All,Intrusion frequency,Self-report questionnaire,no,311,3,3,6,0.09,"[-0.35, 0.52]",NA,0.397868,0.690727
Moderation Analysis: PublicationStatus,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,0.02,NA,0.889
Published,All,Intrusion frequency,Self-report questionnaire,yes,1404,13,14,36,0.12,"[-0.06, 0.30]",NA,1.278423,0.2011
Unpublished,All,Intrusion frequency,Self-report questionnaire,yes,311,3,3,6,0.09,"[-0.31, 0.49]",NA,0.431087,0.666405
Moderation Analysis: Country_RegionofOrigin,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,1.691,NA,0.792
Australia,All,Intrusion frequency,Self-report questionnaire,no,164,2,2,4,0.32,"[-0.21, 0.86]",NA,1.18731,0.235105
England,All,Intrusion frequency,Self-report questionnaire,no,408,5,5,10,0.21,"[-0.14, 0.55]",NA,1.188658,0.234574
Germany,All,Intrusion frequency,Self-report questionnaire,no,299,2,2,3,0.17,"[-0.35, 0.68]",NA,0.628609,0.529605
Netherlands,All,Intrusion frequency,Self-report questionnaire,no,291,3,4,15,0.13,"[-0.25, 0.51]",NA,0.671051,0.502188
USA,All,Intrusion frequency,Self-report questionnaire,no,553,4,4,11,-0.06,"[-0.43, 0.32]",NA,-0.305582,0.759923
Moderation Analysis: Country_RegionofOrigin,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,1.584,NA,0.812
Australia,All,Intrusion frequency,Self-report questionnaire,yes,164,2,2,3,0.21,"[-0.31, 0.73]",NA,0.788636,0.430325
England,All,Intrusion frequency,Self-report questionnaire,yes,408,5,5,10,0.21,"[-0.11, 0.53]",NA,1.272541,0.203181
Germany,All,Intrusion frequency,Self-report questionnaire,yes,299,2,2,3,0.17,"[-0.31, 0.64]",NA,0.679978,0.496518
Netherlands,All,Intrusion frequency,Self-report questionnaire,yes,291,3,4,15,0.13,"[-0.23, 0.48]",NA,0.701862,0.482765
USA,All,Intrusion frequency,Self-report questionnaire,yes,553,4,4,11,-0.07,"[-0.42, 0.28]",NA,-0.391403,0.695499
Moderation Analysis: Continent,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,2.097,NA,0.35
Australia,All,Intrusion frequency,Self-report questionnaire,no,164,2,2,4,0.33,"[-0.16, 0.82]",NA,1.302825,0.192634
Europe,All,Intrusion frequency,Self-report questionnaire,no,998,10,11,28,0.17,"[-0.04, 0.38]",NA,1.591029,0.111603
North america,All,Intrusion frequency,Self-report questionnaire,no,553,4,4,11,-0.07,"[-0.41, 0.27]",NA,-0.412661,0.679855
Moderation Analysis: Continent,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,1.981,NA,0.371
Australia,All,Intrusion frequency,Self-report questionnaire,yes,164,2,2,3,0.2,"[-0.28, 0.68]",NA,0.827885,0.407735
Europe,All,Intrusion frequency,Self-report questionnaire,yes,998,10,11,28,0.17,"[-0.03, 0.36]",NA,1.705115,0.088173
North america,All,Intrusion frequency,Self-report questionnaire,yes,553,4,4,11,-0.08,"[-0.40, 0.23]",NA,-0.530812,0.595549
Moderation Analysis: MeanAge,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,3.233,NA,0.072
MeanAge,All,Intrusion frequency,Self-report questionnaire,no,1715,16,17,43,0.04,"[-0.00, 0.09]",NA,1.798072,0.072166
Moderation Analysis: MeanAge,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,2.488,NA,0.115
MeanAge,All,Intrusion frequency,Self-report questionnaire,yes,1715,16,17,42,0.04,"[-0.01, 0.08]",NA,1.577377,0.114709
Moderation Analysis: FemaleRatio,All,Intrusion frequency,Self-report questionnaire,no,NA,NA,NA,NA,NA,NA,1.584,NA,0.208
FemaleRatio,All,Intrusion frequency,Self-report questionnaire,no,1715,16,17,43,-0.64,"[-1.64, 0.36]",NA,-1.258748,0.208121
Moderation Analysis: FemaleRatio,All,Intrusion frequency,Self-report questionnaire,yes,NA,NA,NA,NA,NA,NA,1.586,NA,0.208
FemaleRatio,All,Intrusion frequency,Self-report questionnaire,yes,1715,16,17,42,-0.6,"[-1.54, 0.33]",NA,-1.259463,0.207863
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,3.159,NA,0.076
Behavioural,All,Intrusion symptoms,NA,no,4530,46,53,96,0.06,"[-0.03, 0.14]",NA,1.33362,0.182328
Pharmacological,All,Intrusion symptoms,NA,no,200,2,2,4,0.44,"[0.03, 0.85]",NA,2.097259,0.035971
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,3.417,NA,0.065
Behavioural,All,Intrusion symptoms,NA,yes,4485,45,52,91,0.08,"[0.01, 0.16]",NA,2.122501,0.033796
Pharmacological,All,Intrusion symptoms,NA,yes,200,2,2,4,0.44,"[0.07, 0.80]",NA,2.343126,0.019123
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,5.429,NA,0.143
Emotion,All,Intrusion symptoms,NA,no,714,9,9,10,-0.07,"[-0.31, 0.17]",NA,-0.592075,0.5538
Imagery,All,Intrusion symptoms,NA,no,1676,18,20,33,0.03,"[-0.12, 0.18]",NA,0.377151,0.706062
Imagery + verbal,All,Intrusion symptoms,NA,no,250,1,3,3,0.53,"[0.08, 0.99]",NA,2.298075,0.021558
Verbal,All,Intrusion symptoms,NA,no,1691,15,16,24,0.05,"[-0.11, 0.22]",NA,0.627635,0.530243
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,6.178,NA,0.103
Emotion,All,Intrusion symptoms,NA,yes,651,8,8,9,-0.02,"[-0.22, 0.18]",NA,-0.191742,0.847944
Imagery,All,Intrusion symptoms,NA,yes,1676,18,20,31,0.09,"[-0.04, 0.22]",NA,1.415184,0.157014
Imagery + verbal,All,Intrusion symptoms,NA,yes,250,1,3,3,0.52,"[0.14, 0.90]",NA,2.676469,0.00744
Verbal,All,Intrusion symptoms,NA,yes,1646,14,15,22,0.06,"[-0.08, 0.20]",NA,0.827546,0.407928
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,8.12,NA,0.087
Direct,All,Intrusion symptoms,NA,no,1978,18,19,33,0.02,"[-0.12, 0.17]",NA,0.329077,0.742097
Direct + indirect,All,Intrusion symptoms,NA,no,990,9,12,18,0.26,"[0.07, 0.45]",NA,2.676235,0.007445
Direct vs. Indirect,All,Intrusion symptoms,NA,no,105,2,2,2,-0.35,"[-0.95, 0.24]",NA,-1.166728,0.24332
Indirect,All,Intrusion symptoms,NA,no,2148,27,30,42,0.02,"[-0.10, 0.15]",NA,0.34635,0.729079
Indirect + direct,All,Intrusion symptoms,NA,no,149,1,1,1,-0.27,"[-0.94, 0.40]",NA,-0.783348,0.433423
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,8.912,NA,0.063
Direct,All,Intrusion symptoms,NA,yes,1933,17,18,29,0.08,"[-0.05, 0.21]",NA,1.158239,0.246766
Direct + indirect,All,Intrusion symptoms,NA,yes,990,9,12,18,0.25,"[0.08, 0.42]",NA,2.951301,0.003164
Direct vs. Indirect,All,Intrusion symptoms,NA,yes,105,2,2,2,-0.34,"[-0.88, 0.20]",NA,-1.242531,0.214041
Indirect,All,Intrusion symptoms,NA,yes,2085,26,29,41,0.04,"[-0.07, 0.15]",NA,0.759793,0.447379
Indirect + direct,All,Intrusion symptoms,NA,yes,149,1,1,1,-0.25,"[-0.81, 0.31]",NA,-0.866857,0.38602
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,3.45,NA,0.178
Instruction,All,Intrusion symptoms,NA,no,650,7,7,11,-0.04,"[-0.29, 0.20]",NA,-0.33413,0.738282
Instruction vs. Task,All,Intrusion symptoms,NA,no,51,1,1,1,-0.66,"[-1.51, 0.19]",NA,-1.5169,0.129292
Task,All,Intrusion symptoms,NA,no,4116,42,49,84,0.08,"[-0.02, 0.17]",NA,1.625978,0.103954
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,4.882,NA,0.087
Instruction,All,Intrusion symptoms,NA,yes,605,6,6,9,-0.04,"[-0.27, 0.19]",NA,-0.375515,0.707277
Instruction vs. Task,All,Intrusion symptoms,NA,yes,51,1,1,1,-0.66,"[-1.43, 0.11]",NA,-1.676858,0.09357
Task,All,Intrusion symptoms,NA,yes,4116,42,49,81,0.1,"[0.02, 0.19]",NA,2.469272,0.013539
Moderation Analysis: TraumaStimuliType,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,0.646,NA,0.724
Audio,All,Intrusion symptoms,NA,no,212,3,3,8,-0.06,"[-0.42, 0.29]",NA,-0.339837,0.733979
Film,All,Intrusion symptoms,NA,no,4143,40,47,86,0.09,"[-0.01, 0.18]",NA,1.804011,0.07123
Picture,All,Intrusion symptoms,NA,no,375,5,5,6,0.05,"[-0.26, 0.36]",NA,0.31502,0.752747
Moderation Analysis: TraumaStimuliType,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,0.198,NA,0.906
Audio,All,Intrusion symptoms,NA,yes,212,3,3,7,0.06,"[-0.28, 0.40]",NA,0.338367,0.735086
Film,All,Intrusion symptoms,NA,yes,4098,39,46,82,0.11,"[0.02, 0.19]",NA,2.432668,0.014988
Picture,All,Intrusion symptoms,NA,yes,375,5,5,6,0.05,"[-0.23, 0.33]",NA,0.35489,0.722672
Moderation Analysis: ComparisonType,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,2.768,NA,0.096
Experimental task,All,Intrusion symptoms,NA,no,2808,32,35,57,0.02,"[-0.09, 0.12]",NA,0.302287,0.762434
No-task,All,Intrusion symptoms,NA,no,1922,16,20,43,0.16,"[0.03, 0.29]",NA,2.389702,0.016862
Moderation Analysis: ComparisonType,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,2.501,NA,0.114
Experimental task,All,Intrusion symptoms,NA,yes,2808,32,35,54,0.05,"[-0.05, 0.15]",NA,1.020715,0.307389
No-task,All,Intrusion symptoms,NA,yes,1877,15,19,41,0.18,"[0.05, 0.30]",NA,2.83548,0.004576
Moderation Analysis: StudyDesign,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,0.014,NA,0.907
Between-subject,All,Intrusion symptoms,NA,no,4634,47,54,99,0.07,"[-0.01, 0.16]",NA,1.647802,0.099393
Within-subject,All,Intrusion symptoms,NA,no,96,1,1,1,0.11,"[-0.51, 0.74]",NA,0.348504,0.727462
Moderation Analysis: StudyDesign,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,0.002,NA,0.963
Between-subject,All,Intrusion symptoms,NA,yes,4589,46,53,94,0.1,"[0.02, 0.18]",NA,2.417685,0.01562
